id;name;type;life;peer_id;peer_name;misc;zvalue;geom
0;P0;MAXIMUM;5985.042358;-1;;"name:P0|type:MAXIMUM|life:5985.042358|pair-type:H0|paired-to:|z:4077.760986";4077.760986;"POINT (6075.000000 9315.000000)"
1;P1;MINIMUM;1745.081836;2;P2;"name:P1|type:MINIMUM|life:1745.081836|pair-type:H0|paired-to:P2|z:-1907.281372";-1907.281372;"POINT (9135.000000 4095.000000)"
2;P2;SADDLE;1745.081836;1;P1;"name:P2|type:SADDLE|life:1745.081836|pair-type:H0|paired-to:P1|z:-162.199600";-162.199600;"POINT (11985.000000 4065.000000)"
3;P3;MINIMUM;136.532823;4;P4;"name:P3|type:MINIMUM|life:136.532823|pair-type:H0|paired-to:P4|z:-827.068787";-827.068787;"POINT (6435.000000 5865.000000)"
4;P4;SADDLE;136.532823;3;P3;"name:P4|type:SADDLE|life:136.532823|pair-type:H0|paired-to:P3|z:-690.535950";-690.535950;"POINT (7185.000000 5355.000000)"
5;P5;SADDLE;8.855015;6;P6;"name:P5|type:SADDLE|life:8.855015|pair-type:H1|paired-to:P6|z:-0.263202";-0.263202;"POINT (9315.000000 15.000000)"
6;P6;MAXIMUM;8.855015;5;P5;"name:P6|type:MAXIMUM|life:8.855015|pair-type:H1|paired-to:P5|z:8.591813";8.591813;"POINT (11985.000000 285.000000)"
7;P7;SADDLE;680.281149;8;P8;"name:P7|type:SADDLE|life:680.281149|pair-type:H1|paired-to:P8|z:1419.120117";1419.120117;"POINT (4305.000000 3915.000000)"
8;P8;MAXIMUM;680.281149;7;P7;"name:P8|type:MAXIMUM|life:680.281149|pair-type:H1|paired-to:P7|z:2099.401367";2099.401367;"POINT (5085.000000 2775.000000)"
9;P9;SADDLE;1168.631811;10;P10;"name:P9|type:SADDLE|life:1168.631811|pair-type:H1|paired-to:P10|z:1464.338379";1464.338379;"POINT (4125.000000 7155.000000)"
10;P10;MAXIMUM;1168.631811;9;P9;"name:P10|type:MAXIMUM|life:1168.631811|pair-type:H1|paired-to:P9|z:2632.970215";2632.970215;"POINT (3285.000000 5445.000000)"
11;P11;SADDLE;1178.400194;12;P12;"name:P11|type:SADDLE|life:1178.400194|pair-type:H1|paired-to:P12|z:2731.423340";2731.423340;"POINT (8025.000000 8835.000000)"
12;P12;MAXIMUM;1178.400194;11;P11;"name:P12|type:MAXIMUM|life:1178.400194|pair-type:H1|paired-to:P11|z:3909.823730";3909.823730;"POINT (9465.000000 8445.000000)"
